optimize imports

git-svn-id: https://svn.apache.org/repos/asf/jackrabbit/trunk@590012 13f79535-47bb-0310-9956-ffa450edef68

-import org.xml.sax.ContentHandler;
-import org.xml.sax.SAXException;
-import org.xml.sax.Locator;
-import org.xml.sax.Attributes;
-import org.xml.sax.helpers.DefaultHandler;
-import org.xml.sax.helpers.AttributesImpl;
-import org.apache.jackrabbit.util.Text;
-import org.slf4j.LoggerFactory;
+import org.apache.jackrabbit.util.Text;
+import org.slf4j.LoggerFactory;
+import org.xml.sax.Attributes;
+import org.xml.sax.ContentHandler;
+import org.xml.sax.Locator;
+import org.xml.sax.SAXException;
+import org.xml.sax.helpers.AttributesImpl;
+import org.xml.sax.helpers.DefaultHandler;
-import javax.jcr.Workspace;
+import javax.jcr.Workspace;
+import javax.xml.transform.TransformerConfigurationException;
+import javax.xml.transform.TransformerException;
-import javax.xml.transform.TransformerConfigurationException;
-import javax.xml.transform.TransformerException;
-import java.io.FileOutputStream;
-import java.io.FileNotFoundException;
-import java.io.IOException;
+import java.io.FileNotFoundException;
+import java.io.FileOutputStream;
+import java.io.IOException;
-import java.util.Map;
+import java.util.ArrayList;
-import java.util.ArrayList;
+import java.util.Map;
